"PartNo","SupplierPartNo","Manufacturer","Model","StockLevel","Cost","RRP","Description","Image","Product Category"
"AG22-0157","AG22-0157","AGENT","agent EHS 550 Adapter - Avaya  A/C/RS","0.00","26.00","32.50","","","Headset Accessories"
"AG22-0158","AG22-0158","AGENT","agent EHS 550 Adapter - Siemens A/D","8.00","26.00","32.50","","https://www.corpteluk.com/product/image/Medium/ag22-0158_0.jpeg","Headset Accessories"
"AG22-0159","AG22-0159","AGENT","agent EHS 550 Adapter - Toshiba A/RS","0.00","26.00","32.50","","","Headset Accessories"
"AG22-0168","AG22-0168","AGENT","agent USB Cable - PLX - SfB Optimised","0.00","19.00","29.95","","","Corded Headsets"
"AG22-0169","AG22-0169","AGENT","agent Smart Cable - Setting 7 Locked","0.00","12.00","12.00","","","Corded Headsets"
"AG22-0170","AG22-0170","AGENT","agent U10SE - IX399 Bottom Cable","0.00","7.95","10.50","","","Corded Headsets"
"AG22-0171","AG22-0171","AGENT","agent U10P-S19 Bottom Cable","0.00","7.00","10.00","","https://www.corpteluk.com/product/image/large/ag22-0171_0.jpeg","Headset Cables"
"AG22-0172","AG22-0172","AGENT","agent A10-01-S1 Bottom Cable (PLX)","0.00","12.00","12.00","","","Corded Headsets"
"AG22-0173","AG22-0173","AGENT","agent Turret DX Lead (DST)","0.00","6.99","6.99","","","Corded Headsets"
"AG22-0175","AG22-0175","AGENT","agent 800 Headset Top - PLX QD","0.00","82.36","82.36","","","Corded Headsets"
"AG22-0177","AG22-0177","AGENT","agent Headset Hook - Black","0.00","0.75","1.95","","","Headset Accessories"
"AG22-0179","AG22-0179","AGENT","agent Multi Purpose Amplifier MK II","0.00","46.20","66.00","","","Corded Headsets"
"AG22-0180","AG22-0180","AGENT","agent 401-USB Monaural VoIP Headset","0.00","37.80","54.00","","","Corded Headsets"
"AG22-0181","AG22-0181","AGENT","agent 402-USB Binaural VoIP Headset","0.00","42.00","60.00","","","Corded Headsets"
"AG22-0186","AG22-0186","AGENT","agent EHS 550 Adapter - Polycom IP A/E","0.00","26.00","32.50","","","Headset Accessories"
"AG22-0187","AG22-0187","AGENT","agent EHS 550 Adapter - Panasonic A/G","0.00","26.00","32.50","","","Headset Accessories"
"AG22-0188","AG22-0188","AGENT","agent EHS 550 Adapter-Aastra B   A/D","1.00","26.00","32.50","","https://www.corpteluk.com/product/image/Medium/ag22-0188_0.jpeg","Headset Accessories"
"AG22-0195","AG22-0195","AGENT","agent W800 Series Ear Hooks - Small","480.00","3.50","3.50","","","Wireless Headsets"
"AG22-0196","AG22-0196","AGENT","agent W800 Series Ear Hooks - Medium","471.00","3.50","3.50","","","Wireless Headsets"
"AG22-0197","AG22-0197","AGENT","agent W800 Series Ear Hooks - Large","480.00","3.50","3.50","","","Wireless Headsets"
"AG22-0198","AG22-0198","AGENT","agent K Stub Adapter","0.00","5.00","5.00","","","Corded Headsets"
"AG22-0199","AG22-0199","AGENT","agent W860 / W880 Spare Battery V3.0","43.00","9.60","12.00","","https://www.corpteluk.com/product/image/large/ag22-0199_0.jpeg","Headset Spares"
"AG22-0200","AG22-0200","AGENT","agent W880 DECT Wireless Headset V3.0","0.00","140.00","175.00","","","Wireless Headsets"
"AG22-0202","AG22-0202","AGENT","agent W860 DECT Wireless Headset V3.0","0.00","109.28","136.60","","","Wireless Headsets"
"AG22-0205","AG22-0205","AGENT","agent W860 V3.0 Spare Base Unit","0.00","49.60","62.00","","","Headset Spares"
"AG22-0206","AG22-0206","AGENT","agent W800 USB Cable","0.00","4.00","5.00","","","Headset Spares"
"AG22-0207","AG22-0207","AGENT","agent W800 Series Ear Hook (x3)","118.00","8.00","10.00","","https://www.corpteluk.com/product/image/large/ag22-0207_0.jpeg","Headset Spares"
"AG22-0208","AG22-0208","AGENT","agent W800 Stub Cable","0.00","1.60","2.00","","","Headset Spares"
"AG22-0209","AG22-0209","AGENT","agent USB Cable SfB Version","0.00","20.16","49.00","","https://www.corpteluk.com/product/image/large/ag22-0209_0.jpeg","Headset Cables"
"AG22-0211","AG22-0211","AGENT","agent AW Series EHS - Avaya 1400/1600/Shoretel/Toshiba","28.00","22.00","27.50","","https://www.corpteluk.com/product/image/Medium/ag22-0211_0.jpeg","Headset Accessories"
"AG22-0212","AG22-0212","AGENT","agent AW Series EHS - Cisco 79xx/88xx Series","28.00","22.00","27.50","","https://www.corpteluk.com/product/image/Medium/ag22-0212_0.jpeg","Headset Accessories"
"AG22-0213","AG22-0213","AGENT","agent AW Series EHS - Polycom","23.00","22.00","27.50","","https://www.corpteluk.com/product/image/Medium/ag22-0213_0.jpeg","Headset Accessories"
"AG22-0214","AG22-0214","AGENT","agent AW Series EHS - Panasonic/Grandstream","30.00","26.00","32.50","","","Headset Accessories"
"AG22-0215","AG22-0215","AGENT","agent QD to USB Cable - Version 1.0","0.00","21.95","29.95","","","Corded Headsets"
"AG22-0217","AG22-0217","AGENT","agent AW Series EHS - Avaya 2420 & 46xx","32.00","22.00","27.50","","","Headset Accessories"
"AG22-0218","IPN621","AGENT","agent AW Series EHS - DHSG Cable","50.00","22.00","22.00","","","Wireless Headsets"
"AG22-0219","IPN623","AGENT","agent AW Series EHS - Alcatel","9.00","22.00","29.00","","","Wireless Headsets"
"AG22-0220","AG22-0220","AGENT","agent AW Series EHS - Cisco 8/9xx","31.00","30.00","30.00","","","Wireless Headsets"
"AG22-0229","AG22-0229","AGENT","agent W800 DECT Headset V3.0 *NFS*","0.00","169.95","169.95","","","Wireless Headsets"
"AG22-0232","AG22-0232","AGENT","agent Easy PC USB Headset Switch","3.00","15.33","25.00","","https://www.corpteluk.com/product/image/Medium/ag22-0232_0.jpeg","Headset Accessories"
"AG22-0250","AG22-0250","AGENT","agent AG-1 Monaural NC Headset","2956.00","61.60","88.00","","","Corded Headsets"
"AG22-0251","AG22-0251","AGENT","agent AG-2 Binaural NC Headset","986.00","77.00","110.00","","","Corded Headsets"
"AG22-0252","AG22-0252","AGENT","agent AG-1 Monaural NC Headset - PLX QD","934.00","61.60","88.00","","","Corded Headsets"
"AG22-0253","AG22-0253","AGENT","agent AG-2 Binaural NC Headset PLX QD","230.00","77.00","110.00","","","Corded Headsets"
"AG22-0254","AG22-0254","AGENT","agent AG-1/2 Leatherette Ear Cushion","137.00","1.05","1.00","","","Corded Headsets"
"AG22-0255","AG22-0255","AGENT","agent 200 Top Half Headset Marked","2.00","42.00","42.00","","","Corded Headsets"
"AG22-0256","AG22-0256","AGENT","agent AG-2+ Binaural NC Headset PLX QD","6.00","77.00","110.00","","https://www.corpteluk.com/product/image/large/ag22-0256_0.jpeg","Corded Headsets"
"AG22-0257","AG22-0257","AGENT","agent 850+ Binaural NC Headset PLX QD","0.00","65.80","94.00","","https://www.corpteluk.com/product/image/large/ag22-0257_0.jpeg","Corded Headsets"
"AG22-0258","AG22-0258","AGENT","agent AG-1+ Monaural NC Headset - PLX QD","16.00","61.60","88.00","","https://www.corpteluk.com/product/image/Medium/ag22-0258_0.jpeg","Corded Headsets"
"AG22-0259","AG22-0259","AGENT","agent AG-1+ Monaural NC Headset AG QD","13.00","61.60","88.00","","https://www.corpteluk.com/product/image/Medium/ag22-0259_0.jpeg","Corded Headsets"
"AG22-0260","AG22-0260","AGENT","agent AU-1 Monaural USB NC UC Headset","0.00","23.10","33.00","","","Corded Headsets"
"AG22-0261","AG22-0261","AGENT","agent AU-2 Binaural USB NC UC Headset","0.00","26.95","38.50","","","Corded Headsets"
"AG22-0264","AG22-0264","AGENT","agent Clothing Clip - Black","198.00","0.50","1.50","","","Headset Spares"
"AG22-0265","AG22-0265","AGENT","agent 100 Top Half Headset PLX QD","1.00","32.84","32.84","","https://www.corpteluk.com/product/image/Medium/ag22-0265_0.jpeg","Corded Headsets"
"AG22-0266","AG22-0266","AGENT","agent 200 Top Half Headset PLX QD","0.00","37.90","37.90","","","Corded Headsets"
"AG22-0275","AG22-0275","AGENT","agent AG-55dB Microphone Boom","0.00","15.00","15.00","","","Corded Headsets"
"AG22-0276","AG22-0276","AGENT","agent EC-12 Corded Large Ear Cushion (x1)","150.00","10.50","15.00","","https://www.corpteluk.com/product/image/Medium/ag22-0276_0.jpeg","Headset Spares"
"AG22-0278","AG22-0278","AGENT","agent EC-16 70mm Large Ear Cushion (x1)","129.00","5.25","5.00","","https://www.corpteluk.com/product/image/Medium/ag22-0278_0.jpeg","Headset Accessories"
"AG22-0280","AG22-0280","AGENT","agent AP-1 Monaural NC Headset PLX QD","140.00","26.25","37.50","","https://www.corpteluk.com/product/image/Medium/ag22-0280_0.jpeg","Corded Headsets"
"AG22-0281","AG22-0281","AGENT","agent AP-2 Binaural NC Headset PLX QD","146.00","29.40","42.00","","https://www.corpteluk.com/product/image/Medium/ag22-0281_0.jpeg","Corded Headsets"
"AG22-0290","AG22-0290","AGENT","Freemate AG-1 Monaural NC Headset","110.00","80.00","80.00","","","Corded Headsets"
"AG22-0291","AG22-0291","AGENT","Freemate AG-2 Binaural NC Headset","0.00","100.00","100.00","","","Corded Headsets"
"AG22-0295","AG22-0295","AGENT","Agent AP-1U Monaural USB Headset","500.00","37.80","54.00","","https://www.corpteluk.com/product/image/Medium/AG22-0295_ap-1U%20usb.jpg","Corded Headsets"
"AG22-0296","AG22-0296","AGENT","agent AP-2U Binaural NC USB Headset","11360.00","42.00","60.00","","https://www.corpteluk.com/product/image/Medium/AG22-0296_ap-2U%20usb.jpg","Corded Headsets"
"AG22-0320","AG22-0320","AGENT","Comhead AG-1 Monaural NC - PLX QD","50.00","80.00","80.00","","","Corded Headsets"
"AG22-0321","AG22-0321","AGENT","Comhead AG-2 Binaural NC - PLX QD","0.00","100.00","100.00","","","Corded Headsets"
"AG22-0325","AG22-0325","AGENT","agent AG-2+ Binaural NC PLX with EC-12","0.00","89.95","89.95","","","Corded Headsets"
"AG22-0326","AG22-0326","AGENT","agent AG-2 Binaural NC PLX - BAG","0.00","89.95","89.95","","","Corded Headsets"
"AG22-0327","AG22-0327","AGENT","agent AG-2+ Binaural NC Headset AG QD","38.00","77.00","110.00","","","Corded Headsets"
"AG22-0350","AG22-0350","AGENT","agent AP-1 Monaural NC Headset AG QD","1100.00","26.25","37.50","","https://www.corpteluk.com/product/image/Medium/ag22-0280_0.jpeg","Corded Headsets"
"AG22-0351","AG22-0351","AGENT","agent AP-2 Binaural NC Headset AG QD","357.00","29.40","42.00","","https://www.corpteluk.com/product/image/Medium/ag22-0351_0.jpeg","Corded Headsets"
"AG22-0364","AG22-0364","AGENT","agent 550 Plus Monaural VT Headset AG QD","1291.00","44.80","64.00","","https://www.corpteluk.com/product/image/Medium/ag22-0364_0.jpeg","Corded Headsets"
"AG22-0365","AG22-0365","AGENT","agent 650 Plus Binaural VT Headset AG QD","1195.00","51.80","74.00","","https://www.corpteluk.com/product/image/Medium/ag22-0365_0.jpeg","Corded Headsets"
"AG22-0368","AG22-0368","AGENT","agent 750+ Monaural NC Headset AG QD","56.00","54.60","78.00","","https://www.corpteluk.com/product/image/Medium/AG22-0368_agent%20750.jpg","Corded Headsets"
"AG22-0369","AG22-0369","AGENT","agent 850+ Binaural NC Headset AG QD","21.00","65.80","94.00","","","Corded Headsets"
"AG22-0370","AG22-0370","AGENT","agent 150 Monaural NC Headset RJ11","184.00","21.43","30.00","","https://www.corpteluk.com/product/image/Medium/ag22-0370_0.jpeg","Corded Headsets"
"AG22-0371","AG22-0371","AGENT","agent 250 Binaural NC Headset RJ11","0.00","24.29","34.00","","","Corded Headsets"
